model,noise_sigma,accuracy,A_activation
Baseline (Q1/Q2),0.0,1.0,4.34703441619873
Baseline (Q1/Q2),0.5,1.0,4.132582588195801
Baseline (Q1/Q2),1.0,1.0,3.8941197490692137
Baseline (Q1/Q2),1.5,0.9992169146436961,3.773592481613159
Baseline (Q1/Q2),2.0,0.9935787000783085,3.7125758361816406
Baseline (Q1/Q2),3.0,0.9754111198120595,3.655399227142334
Baseline (Q1/Q2),4.0,0.9534847298355521,3.6278334617614747
Baseline (Q1/Q2),5.0,0.9340642129992169,3.614128007888794
Hardened (Q3/Q4),0.0,1.0,4.3337348937988285
Hardened (Q3/Q4),0.5,1.0,4.324292240142822
Hardened (Q3/Q4),1.0,1.0,4.295736064910889
Hardened (Q3/Q4),1.5,1.0,4.252962455749512
Hardened (Q3/Q4),2.0,1.0,4.207119579315186
Hardened (Q3/Q4),3.0,1.0,4.1226887702941895
Hardened (Q3/Q4),4.0,1.0,4.0603022956848145
Hardened (Q3/Q4),5.0,0.9998433829287392,4.015206470489502
